VarName,Dims,Type,VertDim
TAirSup,3,float,XtraPressureLev
TAirSup_QC,3,int,XtraPressureLev
TSurfStd,2,float,
TSurfStd_QC,2,int,
TSurfAir,2,float,
TSurfAir_QC,2,int,
H2OMMRLevSup,3,float,XtraPressureLev
H2OMMRLevSup_QC,3,int,XtraPressureLev
H2OMMRSurf,2,float,
H2OMMRSurf_QC,2,int,
H2OMMRSatLevSup,3,float,XtraPressureLev
H2OMMRSatLevSup_QC,3,int,XtraPressureLev
H2OMMRSatSurf,2,float,
H2OMMRSatSurf_QC,2,int,
PSurfStd,2,float,
RelHum,3,float,H2OPressureLev
RelHum_QC,3,int,H2OPressureLev
RelHumSurf,2,float,
RelHumSurf_QC,2,int,
CldFrcStd,5,float,
CldFrcStd_QC,5,int,
nCld,4,int,
