VarName,Dims,Type,VertDim
TAirStd,3,float,StdPressureLev
TAirStd_QC,3,int,StdPressureLev
TSurfStd,2,float,
TSurfStd_QC,2,int,
TSurfAir,2,float,
TSurfAir_QC,2,int,
H2OMMRLevStd,3,float,H2OPressureLev
H2OMMRLevStd_QC,3,int,H2OPressureLev
H2OMMRSurf,2,float,
H2OMMRSurf_QC,2,int,
H2OMMRSatLevStd,3,float,H2OPressureLev
H2OMMRSatLevStd_QC,3,int,H2OPressureLev
H2OMMRSatSurf,2,float,
H2OMMRSatSurf_QC,2,int,
PSurfStd,2,float,
RelHum,3,float,H2OPressureLev
RelHum_QC,3,int,H2OPressureLev
RelHumSurf,2,float,
RelHumSurf_QC,2,int,
CldFrcStd,5,float,
CldFrcStd_QC,5,int,
nCld,4,int,
