Mode,Year,Month,Day,Granule,RefLon,RefLat,MinDist,L2File
Descending,2013,8,1,118,-140.0,25.0,1057.172946,AIRS.2013.08.01.118.L2.RetSup_IR.v7.0.1.0.G20107174055.hdf
Descending,2013,8,2,109,-140.0,25.0,348.041041176,AIRS.2013.08.02.109.L2.RetSup_IR.v7.0.1.0.G20107185127.hdf
Descending,2013,8,3,116,-140.0,25.0,755.458572725,AIRS.2013.08.03.116.L2.RetSup_IR.v7.0.1.0.G20107200157.hdf
Descending,2013,8,4,107,-140.0,25.0,662.568239722,AIRS.2013.08.04.107.L2.RetSup_IR.v7.0.1.0.G20107210439.hdf
Descending,2013,8,5,114,-140.0,25.0,451.655255334,AIRS.2013.08.05.114.L2.RetSup_IR.v7.0.1.0.G20107221358.hdf
Descending,2013,8,6,105,-140.0,25.0,982.227206738,AIRS.2013.08.06.105.L2.RetSup_IR.v7.0.1.0.G20107232205.hdf
Descending,2013,8,7,112,-140.0,25.0,155.271379411,AIRS.2013.08.07.112.L2.RetSup_IR.v7.0.1.0.G20108003118.hdf
Descending,2013,8,8,119,-140.0,25.0,1212.89325,AIRS.2013.08.08.119.L2.RetSup_IR.v7.0.1.0.G20108014215.hdf
Descending,2013,8,9,110,-140.0,25.0,194.823186763,AIRS.2013.08.09.110.L2.RetSup_IR.v7.0.1.0.G20108024550.hdf
Descending,2013,8,10,117,-140.0,25.0,911.710370415,AIRS.2013.08.10.117.L2.RetSup_IR.v7.0.1.0.G20108035554.hdf
Descending,2013,8,11,108,-140.0,25.0,502.143519509,AIRS.2013.08.11.108.L2.RetSup_IR.v7.0.1.0.G20108050103.hdf
Descending,2013,8,12,115,-140.0,25.0,607.268786308,AIRS.2013.08.12.115.L2.RetSup_IR.v7.0.1.0.G20108060805.hdf
Descending,2013,8,13,106,-140.0,25.0,820.238589876,AIRS.2013.08.13.106.L2.RetSup_IR.v7.0.1.0.G20108071037.hdf
Descending,2013,8,14,113,-140.0,25.0,302.074863764,AIRS.2013.08.14.113.L2.RetSup_IR.v7.0.1.0.G20108081711.hdf
Descending,2013,8,15,104,-140.0,25.0,1142.7313561,AIRS.2013.08.15.104.L2.RetSup_IR.v7.0.1.0.G20108092300.hdf
Descending,2013,8,16,111,-140.0,25.0,76.409579682,AIRS.2013.08.16.111.L2.RetSup_IR.v7.0.1.0.G20108102817.hdf
